Name                    ,aptitude               ,snap                      ,flatpak                                   ,Description
Gnome Weather           ,gnome-weather          ,gnome-weather             ,org.gnome.Weather                         ,Mostrar las condiciones meteorológicas y el pronóstico
Godot Engine            ,godot3                 ,godot-3-1                 ,org.godotengine.Godot3                    ,Full 2D and 3D game engine with editor
Golang                  ,golang-go              ,                          ,                                          ,Go programming language compiler linker compiled stdlib
gopls                   ,gopls                  ,                          ,                                          ,language server for the Go language
GParted                 ,gparted                ,                          ,                                          ,GNOME partition editor
GPick                   ,gpick                  ,                          ,                                          ,advanced GTK+ color picker
GPredict                ,                       ,                          ,net.oz9aec.Gpredict                       ,Real-time satellite tracking and orbit prediction program
GraphUI                 ,                       ,                          ,com.github.artemanufrij.graphui           ,Graph Visualization
Graphviz                ,graphviz               ,                          ,                                          ,rich set of graph drawing tools
Gwenview                ,gwenview               ,gwenview                  ,org.kde.gwenview                          ,image viewer
HiColor Icon Theme      ,hicolor-icon-theme     ,                          ,                                          ,default fallback theme for FreeDesktop.org icon themes
Hieroglyphic            ,                       ,                          ,io.github.finefindus.Hieroglyphic         ,Find LaTeX symbols
Hopsan                  ,                       ,hopsan                    ,com.github.hopsan.Hopsan                  ,A modelling and simulation tool for fluid power and mechatronic systems
htop                    ,htop                   ,htop                      ,                                          ,interactive processes viewer
hwinfo                  ,hwinfo                 ,                          ,                                          ,Hardware identification system
ImHex                   ,imhex                  ,                          ,net.werwolv.ImHex                         ,Modern REing Hex Editor
Inkscape                ,inkscape               ,                          ,org.inkscape.Inkscape                     ,vector-based drawing program
IntelliJ                ,                       ,intellij-idea-community   ,com.jetbrains.IntelliJ-IDEA-Community     ,Capable and Ergonomic Java IDE
iotop                   ,iotop                  ,                          ,                                          ,simple top-like I/O monitor
iproute2                ,iproute2               ,                          ,                                          ,networking and traffic control tools
iputils-ping            ,iputils-ping           ,                          ,                                          ,Tools to test the reachability of network hosts
JDK                     ,default-jdk            ,                          ,                                          ,Standard Java or Java compatible Development Kit
JRE                     ,default-jre            ,                          ,                                          ,Standard Java or Java compatible Runtime
Jupyter Lab             ,                       ,jupyterlab-desktop        ,org.jupyter.JupyterLab                    ,JupyterLab desktop application based on Electron
Kali Desktop Xfce       ,kali-desktop-xfce      ,                          ,                                          ,Xfce based Kali desktop
Kali Wallpapers         ,kali-wallpapers-all    ,                          ,                                          ,All wallpapers for Kali Linux
Kali Themes             ,kali-themes            ,                          ,                                          ,Configure all desktops to use the Kali theme
Kali Undercover         ,kali-undercover        ,                          ,                                          ,Kali Undercover Mode
Kando                   ,                       ,                          ,menu.kando.Kando                          ,Do things with utmost efficiency
Kate                    ,kate                   ,kate                      ,org.kde.kate                              ,powerful text editor
Kalzium                 ,kalzium                ,kalzium                   ,org.kde.kalzium                           ,Tabla periódica de los elementos
Kasts                   ,kasts                  ,kasts                     ,org.kde.kasts                             ,Aplicación de podcast
KCharSelect             ,kcharselect            ,kcharselect               ,org.kde.kcharselect                       ,special character utility
KDEconnect              ,kdeconnect             ,                          ,                                          ,connect smartphones to your desktop devices
KDEnLive                ,kdenlive               ,kdenlive                  ,org.kde.kdenlive                          ,non-linear video editor
kew                     ,kew                    ,                          ,                                          ,play music from the commandline
KFourInLine             ,                       ,                          ,org.kde.kfourinline                       ,KFourInLine is a four-in-a-row game by KDE
KiCad                   ,kicad                  ,kicad                     ,org.kicad.KiCad                           ,Electronic schematic and PCB design software
KNetWalk                ,knetwalk               ,                          ,org.kde.knetwalk                          ,KNetWalk is a game for system administrators
Kolibri                 ,                       ,                          ,org.learningequality.Kolibri              ,Offline learning platform
Konsole                 ,konsole                ,                          ,org.kde.konsole                           ,X terminal emulator
KRDC                    ,krdc                   ,                          ,org.kde.krdc                              ,Remote Desktop Connection client
Krita                   ,krita                  ,krita                     ,org.kde.krita                             ,pixel-based image manipulation program
KSquares                ,ksquares               ,                          ,org.kde.ksquares                          ,Connect the dots to create squares
KStars                  ,kstars                 ,                          ,org.kde.kstars                            ,Desktop Planetarium
KTorrent                ,ktorrent               ,ktorrent                  ,org.kde.ktorrent                          ,BitTorrent client based on the KDE platform
KWeather                ,                       ,kweather                  ,org.kde.kweather                          ,Ver predicciones meteorológicas en tiempo real y otra información
LeoCAD                  ,                       ,leocad                    ,org.leocad.LeoCAD                         ,Design virtual models you can build with LEGO bricks
Libre Office            ,libreoffice            ,libreoffice               ,org.libreoffice.LibreOffice               ,office productivity suite (metapackage)
Libre PCB               ,                       ,librepcb                  ,org.librepcb.LibrePCB                     ,Design Schematics and PCBs
Light Locker            ,light-locker           ,                          ,                                          ,simple screen locker for lightDM display manager
LightsOff               ,lightsoff              ,lightsoff                 ,org.gnome.LightsOff                       ,Light puzzle game
Liquid War 6            ,                       ,                          ,org.gnu.liquidwar6                        ,Quick tactics game
locales                 ,locales                ,                          ,                                          ,GNU C Library: National Language (locale) data [support]
Lonewolf                ,                       ,                          ,site.someones.Lonewolf                    ,Organize your tasks
lshw                    ,lshw                   ,                          ,                                          ,information about hardware configuration
lynx                    ,lynx                   ,                          ,                                          ,classic non-graphical (text-mode) web browser
Marble                  ,marble                 ,marble                    ,org.kde.marble                            ,globe and map widget
mariadb-server          ,mariadb-server         ,                          ,                                          ,MariaDB database server binaries
Marker                  ,                       ,marker                    ,com.github.fabiocolacio.marker            ,Powerful markdown editor for the GNOME desktop.
maven                   ,maven                  ,                          ,                                          ,Java software project management and comprehension tool
Midnight Commander      ,mc                     ,                          ,                                          ,Midnight Commander - a powerful file manager
mcrypt                  ,mcrypt                 ,                          ,                                          ,Replacement for old unix crypt(1)
minicom                 ,minicom                ,                          ,                                          ,Friendly menu driven serial communication program
mono                    ,mono-devel             ,                          ,                                          ,Mono development tools
Monophony               ,                       ,monophony                 ,io.gitlab.zehkira.Monophony               ,Stream music from YouTube Music
Moon Buggy              ,moon-buggy             ,moon-buggy                ,                                          ,Drive a car across the moon
Moon Lander             ,moon-lander            ,                          ,                                          ,game based on the classic moon lander
Mousam                  ,                       ,                          ,io.github.amit9838.mousam                 ,Weather at a glance
Mousepad                ,mousepad               ,                          ,org.xfce.mousepad                         ,simple Xfce oriented text editor
mpv                     ,mpv                    ,mpv                       ,io.mpv.Mpv                                ,A free open source and cross-platform media player
